"Source","Reference","Prediction","BLEU_Score"
"The rate of 12-year-old children with fluor contaminated teeth without suspicion level was 7.1%.","Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu không tính mức độ nghi ngờ là 7,1%.","Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor không nghi ngờ là 7,1%.","64.532777036973"
"Mostly suspected and very mild, there was no case of severe fluor contaminated teeth. There was only one case of moderate fluor contaminated teeth.","Chủ yếu là mức độ nghi ngờ và rất nhẹ, không có trường hợp răng nhiễm fluor nặng, chỉ duy nhất một ca răng nhiễm fluor ở mức độ trung bình.","Đa phần nghi ngờ và rất nhẹ, không có trường hợp nào bị nhiễm Fluor cao hoặc nặng. Có 1 trường hợp bị nhiễm Fluor mức độ trung bình.","38.024334928886"
"The Dean's index of community fluor contaminated teeth in 12-year-old children was 0.13. This was a community without fluor contaminated teeth according to the 2013 classification of the World Health Organization.","Chỉ số răng nhiễm fluor trong cộng đồng theo chỉ số Dean ở trẻ 12 tuổi là 0,13 theo phân loại của Tổ chức Y tế Thế giới năm 2013 thuộc cộng đồng không bị nhiễm fluor răng.","Chỉ số Dean của răng nhiễm fluoro ở trẻ 12 tuổi là 0,13, đó là một cộng đồng không có răng nhiễm fluoro theo phân loại của Tổ chức Y tế thế giới năm 2013.","40.13816762942"
"Characteristics of dry eye in patients with primary Sjögren syndrome","Đặc điểm khô mắt trên bệnh nhân mắc hội chứng Sjögren nguyên phát","Đặc điểm rối loạn nhãn áp ở bệnh nhân hội chứng Sjögren nguyên phát","34.078064670813"
"To investigate the reasonableness of using proton pump inhibitors (PPI) at 120 Military Hospital in Tien Giang province.","Khảo sát tính hợp lý trong sử dụng thuốc ức chế bơm proton (PPI) tại Bệnh viện Quân y 120 tỉnh Tiền Giang.","Khảo sát tỷ lệ sử dụng thuốc ức chế bơm proton tại Bệnh viện Quân y 120 tỉnh Tiền Giang.","58.456136450228"
"Unreasonable prescriptions in PPI used mainly gastritis.","Đơn thuốc chưa hợp lý trong sử dụng PPI chủ yếu là bệnh viêm dạ dày.","Các thuốc PPI không hợp lý thường gặp nhất là viêm dạ dày.","18.884639165414"
"Subjects and methods: Cross-sectional descriptive study on 4532 outpatient prescriptions of patients who were prescribed drugs by doctors from July 1st, 2020 to July 30th, 2020 at clinics of the examination department - Military Hospital 120.","Đối tượng và phương pháp: Nghiên cứu mô tả cắt ngang trên 4532 đơn thuốc khám bệnh ngoại trú của bệnh nhân được bác sĩ kê đơn thuốc từ ngày 01/7/2020 đến ngày 30/7/2020 tại các phòng khám thuộc khoa Khám bệnh – Bệnh viện Quân y 120.","Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang trên 4532 đơn thuốc của bệnh nhân khám chữa bệnh ngoại trú tại phòng khám ngoại trú của khoa Khám bệnh – Bệnh viện Quân y 120 từ ngày 01/7/2020 đến ngày 30/7/2020.","65.589380940587"
"Results: Prescribing unsafe proton pump inhibitors accounted for 12.13%.","Kết quả: Tỷ lệ chỉ định thuốc ức chế bơm proton chưa an toàn chiếm 12,13%.","Kết quả: Đơn thuốc nhóm ức chế bơm proton có tỷ lệ sử dụng không phù hợp là 12,13%.","20.915990037763"
"Percentage of prescriptions without instructions for use of proton pump inhibitors (0.79%).","Tỷ lệ đơn thuốc không có hướng dẫn thời gian sử dụng thuốc ức chế bơm proton (0,79%).","Tỷ lệ đơn thuốc không có hướng dẫn sử dụng thuốc ức chế bơm proton (0,79%).","82.571833050967"
"The proportion of prescription drugs with drug interactions was 52.14%, clopidogrel was the most interactive drug commonly used with PPIs (48.3%).","Tỷ lệ đơn thuốc có tương tác thuốc là 52,14%, clopidogrel là thuốc tương tác được sử dụng chung với PPI nhiều nhất (48,3%).","Tỷ lệ thuốc kê đơn có tương tác thuốc là 52,14%, clopidogrel là thuốc có tương tác nhiều nhất được sử dụng với PPIs (48,3%).","58.132291485195"
"The proportion of proton pump inhibitors indicated unreasonable was 9.76%.","Tỷ lệ có chỉ định thuốc ức chế bơm proton chưa hợp lý là: 9,76%.","Tỷ lệ dùng thuốc ức chế bơm proton chỉ định không hợp lý là 9,76%.","37.955877022153"
"The proportion of prescriptions with proton pump inhibitors for gastritis treatment accounted for 66.14% of the total number of prescriptions with proton pump inhibitors that were not reasonable.","Tỷ lệ đơn thuốc có chỉ định thuốc ức chế bơm proton điều trị viêm dạ dày chiếm 66,14% so với tổng đơn thuốc có thuốc ức chế bơm proton chưa hợp lý.","Tỷ lệ đơn thuốc sử dụng thuốc ức chế bơm proton điều trị viêm dạ dày chiếm 66,14% tổng số đơn thuốc có sử dụng thuốc ức chế bơm proton không hợp lý.","59.365304934788"
"Conclusion: The proportion of proton pump inhibitors was not safe and reasonable and the proportion of prescription drugs with no instructions on how long to use proton pump inhibitors were low.","Kết luận: Tỷ lệ thuốc ức chế bơm proton chưa an toàn, chưa hợp lý, đơn thuốc không có hướng dẫn thời gian sử dụng thuốc ức chế bơm proton chiếm tỷ lệ thấp.","Kết luận: Tỷ lệ dùng thuốc ức chế bơm proton không phù hợp và hợp lý là thấp và tỷ lệ dùng thuốc không có hướng dẫn sử dụng thời gian lâu dài của thuốc là thấp.","33.160105238149"
"The proportion of prescription interacting drugs accounted for a high proportion, clopidogrel was the most interactive drug commonly used with PPIs.","Tỷ lệ đơn thuốc có tương tác chiếm tỷ lệ cao, clopidogrel là thuốc tương tác được sử dụng chung với PPI nhiều nhất.","Tỷ lệ thuốc phối hợp kê đơn chiếm tỷ lệ cao, clopidogrel là thuốc phổ biến được sử dụng nhiều nhất với PPIs.","37.85352791091"
"Evaluation of compliance with vancomycin therapy before and after the participation of clinical pharmacists at the department of intensive care medicine - anti toxicology, Nguyen Tri Phuong hospital","Đánh giá mức độ tuân thủ theo dõi trị liệu vancomycin trước và sau khi có sự tham gia của dược sĩ lâm sàng tại Khoa Hồi sức tích cực – Chống độc, Bệnh viện Nguyễn Tri Phương","Đánh giá sự tuân thủ điều trị vancomycin trước và sau khi có sự tham gia của dược sĩ lâm sàng tại khoa hồi sức tích cực – chống độc, bệnh viện Nguyễn Tri Phương","53.712387196472"
"Primary spontaneous pneumothorax is a common disease in young people with a recurrence rate.","Tràn khí màng phổi tự phát tiên phát là bệnh lý thường xảy ra ở người trẻ với tỉ lệ tái phát nhất định.","Tràn khí màng phổi tự phát là bệnh lý thường gặp ở người trẻ tuổi với tỉ lệ tái phát cao.","51.880664315008"
"Currently, indications of video-assisted thoracoscopic surgery (VATS) in the routine treatment of primary spontaneous pneumothorax and it is recommended to perform early in the first episode of pneumothorax.","Hiện nay, chỉ định phẫu thuật nội soi lồng ngực trong điều trị tràn khí màng phổi tự phát tiên phát đã trở thành thường quy và khuyến cáo thực hiện sớm ngay với các trường hợp tràn khí lần đầu.","Hiện nay chỉ định phẫu thuật nội soi lồng ngực trong điều trị tràn khí màng phổi tự phát là một trong những biện pháp được khuyến cáo để sớm xử trí trong trường hợp đầu tiên của tràn khí màng phổi tự phát.","43.325831087767"
"Methods: Cross-sectional study; The research results were recorded in the following variables: age, sex; operative indications; operative time... The data were recorded in the research medical record for each patient and processed by the SPSS 20.0.","Phương pháp: Nghiên cứu cắt ngang; Kết quả nghiên cứu ghi nhận ở các biến số: Tuổi, giới tính; chỉ định phẫu thuật; thời gian mổ... Số liệu được ghi nhận vào mẫu bệnh án nghiên cứu cho từng bệnh nhân và xử lý bằng chương trình SPSS 20.0.","Phương pháp nghiên cứu: Nghiên cứu cắt ngang; Kết quả nghiên cứu được ghi nhận ở các biến số: tuổi, giới; chỉ định phẫu thuật; thời gian mổ … Số liệu được ghi nhận trong hồ sơ bệnh án của mỗi bệnh nhân và xử lý bằng phần mềm SPSS 20.0.","56.65003195959"
"Results: From January 2018 to April 2021 at Cardiovascular and Thoracic Center - Viet Duc University Hospital, 38 patients underwent video-assisted thoracoscopic surgery for primary spontaneous pneumothorax.","Kết quả: Từ tháng 01/2018 đến 04/2021 tại trung tâm Tim mạch và Lồng ngực – Bệnh viện hữu nghị Việt Đức có 38 bệnh nhân được phẫu thuật nội soi lồng ngực điều trị tràn khí màng phổi tự phát tiên phát.","Kết quả: Từ tháng 1/2018 đến tháng 4/2021 tại Trung tâm Tim mạch và Lồng ngực – Bệnh viện Hữu nghị Việt Đức có 38 bệnh nhân được phẫu thuật nội soi lồng ngực điều trị tràn khí màng phổi tự phát.","72.621679212054"
"Indications of VATS: Recurrent preumothorax 44, 74%; Prolonged preumothorax 21, 05%; bullae 21, 05%; preumothorax-hemothorax 10, 52%; bilateral spontaneous pneumothorax 2, 63%.","Chỉ định phẫu thuật bao gồm: Tràn khí tái phát 44,74%; Rò khí kéo dài 21,05%; Kén khí lớn 21,05%; Tràn khí - tràn máu màng phổi 10,52%; Tràn khí 2 bên cùng lúc 2,63%.","Chỉ định nội soi lồng ngực: Phình vòm nguyên phát tái phát 44,74%; Phình vòm kéo dài 21,05%; Bướu mủ 21,05%; Phình ngực - huyết khối 10,52%; tràn khí tự phát hai bên 2,63%.","24.48189632118"
"There were no complications nor death.","Không có biến chứng cũng như tử vong.","Không có biến chứng hay tử vong nào xảy ra.","28.997844147152"
"Follow-up from 1 month to 24 months, no cases of recurrence.","Theo dõi từ 1 tháng đến 24 tháng, không có trường hợp nào tái phát.","Theo dõi từ 1 tháng đến 24 tháng không có trường hợp nào tái phát.","83.203817654314"
"Outcomes of therapeutic penetrating keratoplasty for treating microsporidial keratitis","Kết quả điều trị viêm loét giác mạc do microsporidia bằng phẫu thuật ghép giác mạc xuyên","Kết quả điều trị viêm loét giác mạc vi nấm bằng phẫu thuật ghép giác mạc xuyên","76.246585862349"
"By means of direct interviews with 156 primary caregivers for stroke patients who were treated at the hospital and are currently living in Ha Dong district in Hanoi, on rehabilitation care knowledge for patients at home, findings reveal: Percentage of primary carer full knowledge of the content of each patient care was limited: only 2 out of 8 contents reaching over 50%, which are eating care (70.6%) and occlusion preventive care (55.8%).","Bằng phương pháp phỏng vấn trực tiếp 156 người chăm sóc chính cho người bệnh tai biến mạch máu não đã được điều trị tại bệnh viện, hiện đang sinh sống tại quận Hà Đông, thành phố Hà Nội về kiến thức chăm sóc phục hồi chức năng cho người bệnh tại nhà, cho thấy kết quả như sau: Tỷ lệ người chăm sóc chính đạt kiến thức đầy đủ về từng nội dung chăm sóc người bệnh còn rất hạn chế: chỉ có 2/8 nội dung có tỷ lệ đạt trên 50%, đó là chăm sóc ăn uống (70,6%), chăm sóc phòng ngừa tắc mạch (55,8%).","Bằng phương pháp phỏng vấn trực tiếp 156 người chăm sóc chính cho người bệnh đột quỵ đang điều trị tại bệnh viện và hiện đang sinh sống ở quận Hà Đông thành phố Hà Nội, trên cơ sở nghiên cứu tìm hiểu kiến thức phục hồi chức năng cho người bệnh tại nhà của họ, kết quả thu được: Tỷ lệ người chăm sóc chính có kiến thức đạt về từng nội dung của mỗi nội dung còn hạn chế: chỉ có 2 trong số 8 nội dung đạt trên 50% là chăm sóc ăn uống (70,6%) và phòng ngừa tắc mạch (55,8%).","51.795625662581"
"The remaining content ratio care primary caregivers full knowledge was low: skin care (46.2%), urinary tract care, bladder (46.2%), constipation preventive care (13.5%), respiratory care (30.8%), standing care (46.9%), care practice, athletes (34.6%).","Đối với các nội dung chăm sóc còn lại, tỷ lệ người chăm sóc chính đạt kiến thức đầy đủ thấp: chăm sóc da (46,2%), chăm sóc đường tiểu, bàng quang (46,2%), chăm sóc phòng ngừa táo bón (13,5%), chăm sóc hô hấp (30,8%), chăm sóc tư thế đứng (46,9%), chăm sóc luyện tập, vận động (34,6%).","Tỷ lệ kiến thức đúng còn thấp: chăm sóc da (46,2%), chăm sóc đường tiểu, bàng quang (46,2%), phòng ngừa táo bón (13,5%), chăm sóc hô hấp (30,8%), chăm sóc đứng (46,9%), thực hành chăm sóc, người tập thể thao (34,6%).","57.564625903619"
"Percentage of primary care-givers pass all 8 contents of rehabilitation care at home for patients with stroke accounted for only 25.0%.","Tỷ lệ người chăm sóc chính đạt yêu cầu cả 8 nội dung chăm sóc phục hồi chức năng tại nhà cho người bệnh tai biến mạch máu não chỉ chiếm 25,0%.","Tỷ lệ người chăm sóc chính đạt cả 8 nội dung của chăm sóc phục hồi chức năng tại nhà cho người bệnh đột quỵ não chỉ chiếm 25,0%.","66.311915031337"
"Deep anterior lamellar keratoplasty to treat corneal perforation and descemetocele from microbial keratitis","Ghép giác mạc lớp trước sâu điều trị viêm loét giác mạc nhiễm trùng","Phẫu thuật ghép mạc bằng mảnh ghép da sâu điều trị thủng và vỡ giác mạc do vi khuẩn tại Bệnh viện Mắt Trung ương","7.3787905952159"
"TAFRO syndrome was first reported in 2010 in Japan. It is characterized by a constellation of symptoms: Thrombocytopenia, Anasarca, reticulin Fibrosis of the bone marrow, Renal dysfunction and Organomegaly (TAFRO).","Hội chứng TAFRO được báo cáo đầu tiên năm 2010 tại Nhật Bản, đăc trưng bởi giảm tiểu cầu, tràn dịch đa màng, xơ hoá tuỷ xương có reticulin, rối loạn chức năng thận, phì đại cơ quan.","Hội chứng TAFRO được báo cáo lần đầu năm 2010 tại Nhật Bản, hội chứng này biểu hiện bởi các triệu chứng như giảm tiểu cầu, sưng máu, xơ rỉ xương, rối loạn chức năng thận và tăng sinh mô cơ tim.","36.63866902674"
"TAFRO syndrome often occurs in the middle-aged and the elderly, and is rarely seen in adolescents.","Bệnh thường gặp ở người già hoặc trung niên, rất hiếm gặp ở thanh thiếu niên.","Hội chứng TAFRO thường gặp ở người tuổi trung niên và lão thành, hiếm gặp ở trẻ vị thành niên.","19.464521962073"
"Here we report the first child case diagnosed with TAFRO syndrome, and successfully treated with Cyclosporin A in the national children hospital.","Chúng tôi báo cáo một ca bệnh ở trẻ nhỏ đầu tiên được chẩn đoán hội chứng TAFRO và điều trị thành công bằng Cyclospron A tại bệnh viện Nhi Trung ương.","Chúng tôi báo cáo trường hợp bệnh nhi đầu tiên được chẩn đoán hội chứng TAFRO và điều trị thành công bằng cyclosporin A tại Bệnh viện Nhi Trung ương.","60.382856853935"
"He was diagnosed with TAFRO syndrome, treated by prednisone 1mg / kg / day combined with cyclosporin A 4mg / kg / day for 2 weeks. Improvement seen with no fever, no edema, increased platelets, and improved kidney function.","Trẻ được chẩn đoán hội chứng TAFRO, và điều trị prednisone 1 mg / kg / ngày phối hợp cyclosporinA 4 mg / kg / ngày được 2 tuần, trẻ hết sốt, hết phù, tiểu cầu máu tăng, chức năng thận cải thiện","Bệnh nhân được chẩn đoán hội chứng TAFRO, điều trị bằng prednisone 1 mg / kg / ngày kết hợp Cyclosporin A 4 mg / kg / ngày trong 2 tuần sau khi xuất hiện sốt, phù, tăng tiểu cầu và cải thiện chức năng thận.","41.036998883682"
"C-met expression in gastric adenocarcinoma","Sự biểu lộ của C-met trong ung thư biểu mô tuyến dạ dày vùng hang vị","Biểu hiện C-met trong ung thư biểu mô tuyến dạ dày","49.895062230535"
"To describe clinical characteristics of periodontitis patients at Thanh Nhan Hospital, Hanoi.","Mô tả đặc điểm lâm sàng và tình trạng bệnh viêm quanh răng của bệnh nhân đến khám Bệnh viện Thanh Nhàn, Hà Nội.","Mô tả đặc điểm lâm sàng của bệnh nhân viêm quanh răng tại Bệnh viện Thanh Nhàn Hà Nội.","39.685461403768"
